2025-03-28 08:51:04.988 | INFO     | __main__:<module>:41 - logger_test
2025-03-28 08:51:04.989 | ERROR    | __main__:<module>:42 - error_test
2025-03-28 09:23:56.121 | INFO     | __main__:__init__:71 - 正在初始化串口
2025-03-28 09:28:11.317 | INFO     | __main__:__init__:71 - 正在初始化串口
2025-03-28 09:28:11.320 | INFO     | __main__:__init__:78 - 串口成功初始化
2025-03-28 09:28:21.507 | DEBUG    | __main__:__send_serial_msg:170 - 向下位机发送了10个字节的数据，数据内容为[255, 1, 0, 2, 0, 0, 0, 0, 0, 254]。动作模式为Forward，使用米作为单位，原始移动距离为0.02m。
2025-03-28 09:28:21.702 | INFO     | __main__:__send_serial_msg:172 - 接收到串口消息，下位机动作执行完毕
2025-03-28 09:28:21.705 | INFO     | __main__:move_X:185 - 向前0.02m
2025-03-28 15:18:11.360 | INFO     | __main__:__init__:71 - 正在初始化串口
2025-03-28 15:18:11.372 | INFO     | __main__:__init__:78 - 串口成功初始化
2025-03-28 15:23:39.914 | INFO     | __main__:__init__:71 - 正在初始化串口
2025-03-28 15:23:39.916 | INFO     | __main__:__init__:78 - 串口成功初始化
2025-03-28 15:23:48.588 | DEBUG    | __main__:__send_serial_msg:170 - 向下位机发送了10个字节的数据，数据内容为[255, 1, 255, 246, 0, 0, 0, 0, 0, 254]。动作模式为X_move，使用米作为单位，原始移动距离为-0.1m。
2025-03-28 15:23:49.061 | INFO     | __main__:__send_serial_msg:172 - 接收到串口消息，下位机动作执行完毕
2025-03-28 15:23:49.063 | INFO     | __main__:move_X:187 - 后退-0.1m
2025-03-28 15:24:09.080 | DEBUG    | __main__:__send_serial_msg:170 - 向下位机发送了10个字节的数据，数据内容为[255, 1, 0, 10, 0, 0, 0, 0, 0, 254]。动作模式为X_move，使用米作为单位，原始移动距离为0.1m。
2025-03-28 15:24:09.549 | INFO     | __main__:__send_serial_msg:172 - 接收到串口消息，下位机动作执行完毕
2025-03-28 15:24:09.550 | INFO     | __main__:move_X:185 - 向前0.1m
